,t090C,t090C_1000,t090C_3000,t090C_10000,flag
7375,32.2192,32.33298164188458,32.37317567477921,32.230374259063154,0.0
7376,32.3454,32.315428044744706,32.36594735977347,32.23194724424542,0.0
7377,32.1779,32.316266236844335,32.362541623276115,32.23337591304018,0.0
7378,32.3728,32.3373218053319,32.36296128276642,32.23467794517373,0.0
7379,32.3759,32.36365614810208,32.36493122119812,32.235654870266906,0.0
7380,32.4131,32.381199936629244,32.366108197741084,32.236095418356506,0.0
7381,32.4244,32.38798239854137,32.365637044366736,32.23592113774234,0.0
7382,32.3893,32.38426064611963,32.363247410909196,32.235109136677806,0.0
7383,32.3735,32.37636374052699,32.35960174845831,32.2337238185607,0.0
7384,32.3647,32.368938232995404,32.35531955128401,32.23182824082855,0.0
7385,32.3654,32.36230135118055,32.35055916961242,32.22944504336011,0.0
7386,32.3567,32.35534759879005,32.34529068981595,32.22658014552323,0.0
7387,32.3545,32.34713364160017,32.33949200439198,32.223240253744976,0.0
7388,32.3396,32.33714566418295,32.33321198004229,32.2194385642085,0.0
7389,32.3179,32.326838409130644,32.3267412578706,32.21520977287355,0.0
7390,32.3076,32.3191081136031,32.320514246228576,32.210600465968135,0.0
7391,32.303,32.31564556274928,32.31475459058162,32.20563629846848,0.0
7392,32.3177,32.31549311692181,32.30927681467136,32.20030369901527,0.0
7393,32.3184,32.31588799140358,32.30359877495506,32.19456045693676,0.0
7394,32.3232,32.314785803549995,32.29727696096438,32.18836702724612,0.0
7395,32.3199,32.31097934594481,32.289983029953014,32.18169477063905,0.0
7396,32.2919,32.30601077205976,32.28172333044688,32.17454649119774,0.0
7397,32.3078,32.30236943448611,32.27260322988617,32.1669355351348,0.0
7398,32.3168,32.29715969174441,32.26212157504096,32.158822924543635,0.0
7399,32.3003,32.28633531934749,32.249675048455,32.150163726629366,0.0
7400,32.2723,32.27081716610061,32.2352861641482,32.1409735917542,0.0
7401,32.2644,32.25254452901523,32.21918723711361,32.13129185443222,0.0
7402,32.2523,32.229698404705815,32.201291870905976,32.121133993626685,0.0
7403,32.2123,32.20023822034904,32.18160533872851,32.110528373583534,0.0
7404,32.2095,32.16173652114725,32.16029191612289,32.09952229501913,0.0
7405,32.1418,32.10988595170166,32.13763681785995,32.08817819970993,0.0
7406,31.9641,32.05616710705297,32.115931007436764,32.07673992465516,0.0
7407,31.9473,32.02439077787706,32.0987650715731,32.06556273494306,0.0
7408,31.9922,32.01871489797158,32.08713293155247,32.054756317214704,0.0
7409,31.9692,32.03144640567817,32.08005294766691,32.04423664232709,0.0
7410,32.0498,32.05956177052926,32.076428653441134,32.033894125078746,0.0
7411,32.1475,32.08999944737879,32.073713654197775,32.02347884754418,0.0
7412,32.1287,32.10842698347916,32.06918193458015,32.012721430670254,0.0
7413,32.162,32.112760913353725,32.06169933064426,32.001498903306114,0.0
7414,32.1311,32.103047342293976,32.05078960410794,31.989755570814317,0.0
7415,32.0924,32.082285648324984,32.03669235768846,31.977509664543923,0.0
7416,32.078,32.05467170393994,32.020081936104916,31.964827628895378,0.0
7417,32.0179,32.02201961059023,32.00158028408657,31.951778752469497,0.0
7418,31.9175,31.995375480269256,31.982824611450894,31.938527806459046,0.0
7419,31.9987,31.982476812253005,31.964879425980847,31.925188988749042,0.0
7420,32.0209,31.96895460775704,31.946158493614966,31.91163831362385,0.0
7421,31.9417,31.94417572719273,31.925428428869534,31.89778510264026,0.0
7422,31.8935,31.917164475699458,31.90372122210317,31.88374561862669,0.0
7423,31.8923,31.895196105027342,31.88195182818362,31.86962860254626,0.0
7424,31.895,31.874040854793094,31.859721833792438,31.855426331557236,0.0
7425,31.8593,31.848077771049972,31.836447310919517,31.8411159932667,0.0
7426,31.8367,31.815978639051263,31.81210997401284,31.826728286503396,0.0
7427,31.7471,31.78219860220475,31.787453722960393,31.812365018227915,0.0
7428,31.7604,31.752386004629237,31.7633925345639,31.798144307847192,0.0
7429,31.7222,31.724630859486762,31.739976800817594,31.784106100719743,0.0
7430,31.7054,31.695640168771,31.71706656062118,31.770271801405592,0.0
7431,31.6534,31.666243223124823,31.694988852830676,31.756703118987502,0.0
7432,31.6157,31.640769114355503,31.674457460756855,31.74349399711917,0.0
7433,31.6135,31.622149271838335,31.65595517195227,31.730713626744553,0.0
7434,31.6223,31.606026335233153,31.639067997819094,31.718345944436024,0.0
7435,31.5781,31.58862361247146,31.62340188649209,31.706372318590876,0.0
7436,31.5395,31.57508251916896,31.609521602489068,31.694856119207646,0.0
7437,31.562,31.570136717973774,31.597868283804207,31.68384496940065,0.0
7438,31.5892,31.56813751006039,31.587626207758937,31.67326888405669,0.0
7439,31.5698,31.56215440338443,31.577794008568077,31.66303790433513,0.0
7440,31.5608,31.55183478002261,31.568181225184972,31.653133711231455,0.0
7441,31.5602,31.53683172895374,31.558783269842145,31.64355484746465,0.0
7442,31.4913,31.519165009196293,31.55002225674405,31.63433807426501,0.0
7443,31.4986,31.5052293005161,31.542875019402725,31.62556832864996,0.0
7444,31.4539,31.499601823402454,31.538057597538668,31.617303225955173,0.0
7445,31.4751,31.506344793039226,31.53599334738773,31.609567859449495,0.0
7446,31.5521,31.52040789847746,31.53583864416387,31.602267008988434,0.0
7447,31.57,31.527310728552393,31.535623479418252,31.59520030096074,0.0
7448,31.516,31.523753079405623,31.534741138704813,31.588289257504957,0.0
7449,31.4982,31.519646500019963,31.534253011126218,31.581606217368854,0.0
7450,31.5213,31.520289494905352,31.534815507374493,31.575187025373236,0.0
7451,31.5222,31.52285386110185,31.5361535444192,31.56898212809947,0.0
7452,31.5157,31.52647800310786,31.538134433142837,31.562952569485383,0.0
7453,31.5253,31.532960398445105,31.540864175078774,31.557078863892556,0.0
7454,31.5308,31.54311894624995,31.54426872633397,31.55132342961032,0.0
7455,31.5709,31.554830399876625,31.547869292244613,31.545610803885207,0.0
7456,31.5771,31.563327388656294,31.550877765589156,31.539837556124297,0.0
7457,31.5724,31.567148402699857,31.552930425719246,31.5339397867898,0.0
7458,31.5663,31.568894783193326,31.55420534573606,31.52790461459087,0.0
7459,31.5637,31.571369073323858,31.554952690178844,31.521727856633476,0.0
7460,31.5801,31.575078880589317,31.55515099523848,31.51538264629048,0.0
7461,31.5835,31.578039049823403,31.554466634911673,31.50881582106377,0.0
7462,31.5865,31.57873016135738,31.552605332132547,31.50198008944783,0.0
7463,31.585,31.576608800887072,31.54941103496636,31.494843685161136,0.0
7464,31.5693,31.572438370799787,31.544913466716388,31.487395029781243,0.0
7465,31.5604,31.568876740688506,31.539354758555397,31.47964494437981,0.0
7466,31.5903,31.564797357964615,31.532545404997563,31.471568731604698,0.0
7467,31.5668,31.555574288939077,31.52392977509487,31.463112576370193,0.0
7468,31.5433,31.54159986329149,31.5135702834783,31.45428258567762,0.0
7469,31.5165,31.527255030230727,31.502035014766918,31.445134625356218,0.0
7470,31.5132,31.51497570231496,31.48967236244402,31.43570818197655,0.0
7471,31.4982,31.504685977815065,31.476471642419856,31.426012894800827,0.0
7472,31.4959,31.49579764662395,31.462257911339023,31.41604589649436,0.0
7473,31.503,31.48587134060971,31.446580105237423,31.40578251886229,0.0
7474,31.4845,31.471404058387982,31.42886760536872,31.395191707164706,0.0
7475,31.4667,31.451319762155563,31.40888498960806,31.384278271694683,0.0
7476,31.4532,31.42427067742331,31.386506864267517,31.373063796459373,0.0
7477,31.4509,31.383791946576007,31.36130191870269,31.361550302379197,0.0
7478,31.3763,31.322559650825685,31.333187579417416,31.349779833939923,0.0
7479,31.1769,31.251787002866806,31.30458867038194,31.338026238210986,0.0
7480,31.0321,31.2069333223129,31.280628591014857,31.326804354478888,0.0
7481,31.0786,31.215836756119224,31.26483267008136,31.31647257152601,0.0
7482,31.4104,31.252637777633662,31.253710927716543,31.306741260506094,0.0
7483,31.3474,31.264440322006628,31.240230323852813,31.296992071207548,0.0
7484,31.2536,31.244388708770643,31.222703523350066,31.28708890240441,0.0
7485,31.1953,31.216681952877355,31.20355891105399,31.27727447675987,0.0
7486,31.1915,31.19225837871044,31.18419601865589,31.267706478859974,0.0
7487,31.1873,31.168198119022932,31.164540084938753,31.258413596943086,0.0
7488,31.1382,31.140803917245847,31.14441493752394,31.249417579255507,0.0
7489,31.1206,31.111178694750926,31.124222262602544,31.24079415372135,0.0
7490,31.1062,31.077227237052046,31.10414439080406,31.232601192814283,0.0
7491,31.0333,31.03720299357377,31.084577812786716,31.224916688859313,0.0
7492,30.9692,30.997899553414783,31.06700760681802,31.217915109334,0.0
7493,30.934,30.967685360343943,31.053122092038205,31.211784200160793,0.0
7494,30.9253,30.948924644172475,31.043812699080988,31.206630930514656,0.0
7495,30.9044,30.94145414797387,31.039448195898252,31.202502970126886,0.0
7496,30.9128,30.946566710730476,31.040279177269056,31.199423382934746,0.0
7497,30.9363,30.964373463869542,31.046142158799967,31.197363579541793,0.0
7498,30.9711,30.992866796714075,31.056358351128637,31.196234831568034,0.0
7499,31.0378,31.027197598944003,31.06971825164759,31.195889033370296,0.0
7500,31.0823,31.059389938934487,31.0846022740875,31.196133220639027,0.0
7501,31.1011,31.084604867549118,31.09984130187626,31.19681098784855,0.0
7502,31.112,31.103674053849588,31.11510946717061,31.19784095289206,0.0
7503,31.1177,31.119769461866728,31.130556999403073,31.199185096617036,0.0
7504,31.1286,31.136190549719743,31.146474643673226,31.20081834032419,0.0
7505,31.1477,31.154956711970083,31.16303599789122,31.20270456952108,0.0
7506,31.1656,31.176921302655394,31.180233388382437,31.20479019425078,0.0
7507,31.18,31.20404805928919,31.19806162428685,31.20702027034903,0.0
7508,31.2478,31.23570284043483,31.216081518182847,31.209299633348223,0.0
7509,31.2886,31.265094400848056,31.23308575191865,31.211464523324118,0.0
7510,31.3019,31.287446949925574,31.24811145340489,31.213376095621143,0.0
7511,31.3207,31.30310017188456,31.260893229249923,31.214963545696577,0.0
7512,31.3254,31.3127961295413,31.271385592678353,31.21618248178544,0.0
7513,31.3258,31.31761241635124,31.279724503313197,31.217011519982954,0.0
7514,31.3261,31.318973835521867,31.286190186124887,31.21744842146851,0.0
7515,31.3053,31.31955173705571,31.291247004718635,31.217512608219383,0.0
7516,31.3385,31.320447816281664,31.295183031114995,31.21721161260602,0.0
7517,31.3107,31.320157852673095,31.297977358055114,31.216528305351225,0.0
7518,31.2943,31.32266470651203,31.30013822589555,31.215495195310407,0.0
7519,31.3471,31.329854770730396,31.301832855243465,31.214115588245882,0.0
7520,31.3541,31.334591965743684,31.302151881264265,31.21229780005101,0.0
7521,31.3361,31.333717609870153,31.30061201338293,31.209991290881256,0.0
7522,31.3336,31.330194772143773,31.297470950139143,31.207216137417543,0.0
7523,31.3479,31.323452971312005,31.292689394311864,31.203970175861823,0.0
7524,31.3354,31.30919962294255,31.2859345391104,31.20022944481168,0.0
7525,31.2901,31.287327495658587,31.277501100288017,31.196030933116614,0.0
7526,31.251,31.263625839758138,31.268492116910977,31.191487675680776,0.0
7527,31.2189,31.24452745513153,31.26012348648373,31.186723542575816,0.0
7528,31.1997,31.234911058145762,31.253300546705674,31.18183177277598,0.0
7529,31.2068,31.23741506259932,31.24839049753306,31.176851875171188,0.0
7530,31.2522,31.248824413023144,31.244782764840522,31.171729480579227,0.0
